n_rings,P_noon_MW,P_full_MW,eta_noon,eta_full,ratio
23,61.3407,57.3258,0.563132,0.541166,0.934548
25,65.1886,60.5782,0.549852,0.525605,0.929275
27,70.4906,63.7969,0.551161,0.512367,0.905041
mean,,,,,0.922955
